image_name,off_formation,off_play,off_play_type,play_res
3e89c81a2df8bd225c56519a9bb7a2a9a978a496b9a5a22c06b4c6087a0cdd52.png,B FLEX,GB COUNTER,Run,Rush
72ca2eab10e0a4da4be408b19c2aa09c617d0416cad0357821532c11b6396cf3.png,B FLEX,CALIFORNIA,Run,Rush
9e60fb41d0f433bf193933a405c57f208eb35c5f18a41ac5e559f0fc1ccbcc66.png,BUNCH SPLIT,,Pass,Scramble
c5473b3327bd3e7b686d096bca992e4889d7704f839488e15437b8d5c1b0f79e.png,B FLEX,GB COUNTER,Run,Rush
5aa3aa4399c7db67b075104a368d2d362f8015e539f5d7f9ef6236d45681d322.png,ROCKET,,Pass,Complete
ced36235fba32b557411efa1e1245269a28ee64a2d9b6efda4aa6ab4ce045d96.png,ROCKET,,Pass,Scramble
05d3c9ee236016493d814f8309587df83aef2f8df72abcd6a3f86bc6731d16b1.png,B FLEX,,Run,Rush
7c566fbcde7dd28591cc16c3823d3d7ad2bf07ade594d6545f7565bb32b61304.png,CHIEF,,Pass,Incomplete
6f3c648e546e26364d3c0514b0d998e4fe87f8096de48c8ec035a6bba0e7674a.png,ROCKET,,Pass,Incomplete
183a274826e48984396da5568b843b73c92ccc2890522ed83e07e2c314cbb659.png,ROCKET,,Pass,Incomplete
0b98eaeedbd36ced1f7ced62920ddc1a5cb86b17d2c4d7f31aad7c72685a1c16.png,MIAMI SPLIT,,Run,Rush
7295f6cb23267e7dfd7f5e3c0d06cd6e6d25beab68eb0c15130409a9be70898d.png,B FLEX,,Run,Rush
01237e2e2ce22dd9a7abcee4c3b822cb9a223ccf4e27fa75ddd802c264c9b6a5.png,MIAMI SPLIT,,Run,Rush
10d6865b0bc55e3a3f12d4ab6a2e851463e3f27ede20df67a57076c0817a4183.png,B FLEX,,Run,Rush
9ab6f41bff815c219f29f4c5c8cda295efc6362eddf2ce562c36c2be82089014.png,ROCKET,,Pass,Complete
8047421e9d1c97db7e4836e454d0f78172c2c7483a1584600f977ab4e1278719.png,ROCKET,,Run,Rush
4e667b1c042d76baf71e30507bf1038fbcb7078a73d7bad26fd252551e2ce6cb.png,B FLEX,,Run,Rush
518f8fe2018d3b9dffc4515d54af28dec381634d6304e6cdc338f2563a4ec5d5.png,ROCKET,,Pass,Sack
113faaa218aa9a08902bda282bbb9d638054a7287e39c94651919c660c7d8a67.png,KINGS SPLIT,,Pass,Complete
f65d9bb418d3a8a9b074bf10a493e88e48712ce7f9bb19d39e925c071285021f.png,B FLEX,,Run,Rush
c2b688be6c8e8e614c44409d90f04170c6ddd32dbbae50b6e43ae4638d0420fa.png,B FLEX,,,Timeout
b1e31ffb99ed3ef55c80de08b5d20aefa8ed1c5cbd93c6c67056e16d431961d9.png,ROCKET,,Pass,Penalty
fe1c30543a64c2370e1365270a2e92695ed98c61470765c998f4ec9b0df4236c.png,B FLEX,GB COUNTER,Run,Rush
5f7ea038d9596216856de6aedd9e8b6f782b4d3cf978fe808ef1cdd8fc7fd35c.png,MIAMI SPLIT,ARIZONA,Run,Rush
c85445bcdcc77949a826caac6c3a03125d23aaecd377be2684385f34135a4672.png,B FLEX,HAWAII,Run,Rush
739860f8e7e52927aa8bdcccd19cfbec27a7e7aace6f72516d439c58c0cfeeb9.png,B FLEX,GB COUNTER,Run,Rush
e66c3450a4c61a295e5fca6ce755aea15e1a3754d1dea0cc66e5f6023cfde92f.png,ROCKET,,Pass,"Complete, TD"
55f35f522ba7dfb20f9077f2e3af0944800e8ac348e5df9d08a27dca306df544.png,CHIEF,,Pass,Complete
b282391985c71f792b00056f14d1606855b30ea3e345e3479d5dc17ebbd8b303.png,B FLEX,,Run,Rush
9243ca6b7f68487ba8bfe1ed86bffc55ed6d7acb4e30a6c143c5a0274c8a153f.png,KINGS SPLIT,68 FLOOD,Pass,Complete
d5c2356bc42c7e33eda5ed833359ef19a979c02d7130dac36fe3692e61885997.png,KINGS TIGHT,,Pass,Incomplete
8577ccc636149009d8e286cb3be333d142156b628cba938be950a44498fe098f.png,KINGS SPLIT,,Pass,Incomplete
5fb427d251e0797b0c740c4810dbb73bfe7b2e992daf62c7de154a11054c4c32.png,ROCKET,,Pass,Incomplete
b1e081046c9e7b9371a9c433a691276e0859e70c7f833dc0c67b9a01ec477d1c.png,VICTORY,,Run,Rush
36c6a4f66a4c0dcbe1468810f2e4b35c2aaa8de86b3b9a424e45cafa6b45a44d.png,MIAMI SPLIT,,Run,Rush
